entry,lep_pt_0,lep_pt_1,lep_pt_2,lep_pt_3,lep_eta_0,lep_eta_1,lep_eta_2,lep_eta_3,lep_phi_0,lep_phi_1,lep_phi_2,lep_phi_3,lep_E_0,lep_E_1,lep_E_2,lep_E_3,lep_charge_0,lep_charge_1,lep_charge_2,lep_charge_3,lep_type_0,lep_type_1,lep_type_2,lep_type_3,lep_z0_0,lep_z0_1,lep_z0_2,lep_z0_3,lep_sigd0_0,lep_sigd0_1,lep_sigd0_2,lep_sigd0_3,lep_ptconerel_0,lep_ptconerel_1,lep_ptconerel_2,lep_ptconerel_3,lep_etconerel_0,lep_etconerel_1,lep_etconerel_2,lep_etconerel_3,min_mll,mZ1,mZ2,mllll
0,49.13834375,43.45164844,43.01826953,27.35221289,-1.6573768,-1.0109897,-0.020450987,0.04534673,1.0515057,-2.2011163,1.9958615,-3.0341716,133.5622188,67.61464063,43.02739453,27.38054492,1,-1,1,1,11,11,13,13,-0.011413097,-0.001413345,-76.80826,-115.44186,1.3584646,0.4477781,23.169012,212.74484,0,0.03348935,0,0,0.018593699,-0.017460208,-0.029428415,0.014508961,97.14869694,97.14869694,40.29181953,197.1269625
1,175.5587344,138.8466719,106.6965313,79.77672656,2.076854,0.9641987,0.4538123,2.3985784,1.2929627,-2.2561386,-1.7970102,0.5870669,711.4210625,208.5459219,117.8732734,442.6955625,-1,1,-1,1,11,13,13,11,-0.09830761,0.012066841,-0.00073719,-0.27102375,0.6888873,0.34055516,0.46705887,0.37828082,0,0,0,0,0.011549956,-0.002642782,-0.003439113,0.028124513,83.73785323,90.31021528,83.73785323,649.2719311
2,65.28406641,37.29076563,12.42692578,8.804564453,0.103151694,0.43131045,0.98646265,1.1151001,2.3295352,-2.4817212,2.2234292,2.4967396,65.63169531,40.81344922,18.9800918,14.87021094,-1,1,-1,1,11,11,13,13,0.08741522,0.004169941,-0.13719416,-0.013000965,1.2382544,2.7572718,0.79560846,0.13641539,0,0,0,0,0.0046986,0.09009251,0.1311396,0.2080674,3.159233711,68.21225882,3.159233711,87.90709765
3,74.58365625,15.14743555,10.81619922,10.17041211,-1.5594652,-0.8108869,0.97236824,-0.800678,2.3285642,-0.64966524,-1.2148714,-0.65732676,185.2108125,20.40636914,16.34570313,13.60880176,-1,1,-1,-1,11,11,13,13,0.066898346,0.057777405,0.015987396,-0.5140648,4.2975073,2.2635176,1.6376543,1.3391668,0,0,0,1.3474337,0.032267746,0.14114419,-0.030601531,-0.032544624,71.77830349,71.77830349,21.90499736,146.7189006
4,146.7847031,127.5399688,33.56217969,29.77612891,-0.20137234,-0.26222968,-0.2997417,0.47760347,0.56058794,-2.2311037,2.0015476,2.9714534,149.7708906,131.9502656,35.08119922,33.23721875,1,1,-1,-1,11,11,11,11,0.045618534,-0.034900665,0.013465405,0.007009506,0.39560983,1.0707232,2.0920117,1.3726515,0,0,0,0,0.003487843,0.007520295,-0.01434755,-0.009958221,78.70730799,131.6984548,111.8855822,344.7759358
5,135.6806875,82.89479688,62.50809766,42.55290625,1.4913375,0.73802865,1.2436671,0.5755266,-0.7563026,-2.7576957,2.2719328,-1.1226101,316.6859063,106.5141406,117.4100156,49.797125,-1,-1,1,1,13,11,11,13,0.007106781,0.04944992,0.000431061,0.02557373,1.0648052,0.20143452,0.83578306,0.8700302,0,0.012180528,0,0,-0.006926158,-0.020372944,0.013170359,-0.004435052,77.17907046,92.10695649,77.17907046,326.5837902
6,41.99889063,29.3845,20.66120313,7.902932617,-1.8758088,-0.30830655,-0.35553524,1.6167797,-0.2621483,3.032445,-1.156216,-2.0574298,140.2621563,30.79213867,21.98111328,20.68743164,-1,1,1,-1,11,11,13,11,-0.016309738,-0.068647385,-0.016111374,0.20522499,1.7627383,0.8468744,6.2745643,1.9168009,0,0,0.26688668,0,-0.000627749,-0.012854338,0.06727876,0.09074745,38.14118835,92.81142914,31.52180007,164.3927753
7,67.71317969,42.79181641,12.74254199,10.29109277,-1.5264179,-0.06150811,-0.6896634,-0.6163658,-1.4037814,-1.353487,-0.32475498,-0.3771284,163.1540938,42.87278906,15.89533105,12.30905078,1,-1,-1,1,11,11,13,13,0.051647186,0.18583775,-0.049785614,0.01335144,1.663426,0.21571973,2.0921476,0.24739696,0,0,0.80214286,1.159122,0.000216623,-0.017704157,-0.08090987,0.59697443,1.05350952,86.13962974,1.05350952,107.4225851
8,133.9970625,131.7169219,121.5518203,95.29192188,-0.35287458,-1.5085887,-0.7467674,0.18789968,2.0932736,-1.2758695,-1.0894285,1.5077916,142.4267188,312.2724375,157.0488594,96.97913281,1,-1,1,-1,13,13,13,13,-0.009035111,-0.010433197,0.036806107,-0.04384613,0.9994238,0.011019947,0.5074389,2.3334746,0,0,0,0,0.0059999,-0.000467533,-0.00680767,-0.008683681,89.88556433,309.849456,232.0784711,574.6418819
9,48.98341016,17.64312109,10.87682813,9.635456055,-1.2624359,-0.732926,-0.6744958,-1.0499095,-3.0401354,0.13334665,0.46578038,0.23613784,93.48449219,22.59810547,13.44624023,15.45219727,-1,1,-1,1,13,13,11,11,-0.038269043,0.025945663,-0.044591904,0.051872253,2.561614,1.8441916,0.28560507,2.4042168,0,0,0,0,-0.013212636,0.0466904,0.018960433,0.015775705,4.521878926,60.86129912,4.521878926,88.97608995
